Height,C_r,del_T,Flow_Vel
30,1.25,2.5,0.001969
30,1.25,5,0.00203
30,1.25,10,0.002152
30,1.25,15,0.002273
30,1.25,20,0.002393
30,1.5,2.5,0.002083
30,1.5,5,0.002146
30,1.5,10,0.002272
30,1.5,15,0.002399
30,1.5,20,0.002526
30,1.75,2.5,0.002177
30,1.75,5,0.002243
30,1.75,10,0.002374
30,1.75,15,0.002507
30,1.75,20,0.002638
30,2,2.5,0.002262
30,2,5,0.00233
30,2,10,0.002466
30,2,15,0.002603
30,2,20,0.00274
30,2.25,2.5,0.00234
30,2.25,5,0.00241
30,2.25,10,0.002552
30,2.25,15,0.002694
30,2.25,20,0.002836
30,2.5,2.5,0.002416
30,2.5,5,0.002489
30,2.5,10,0.002633
30,2.5,15,0.00278
30,2.5,20,0.002927
30,2.75,2.5,0.002487
30,2.75,5,0.002561
30,2.75,10,0.00271
30,2.75,15,0.002861
30,2.75,20,0.003013
30,3,2.5,0.002554
30,3,5,0.002631
30,3,10,0.002783
30,3,15,0.002938
30,3,20,0.003093
30,3.25,2.5,0.002618
30,3.25,5,0.002694
30,3.25,10,0.002853
30,3.25,15,0.003011
30,3.25,20,0.003169
30,3.5,2.5,0.002677
30,3.5,5,0.002757
30,3.5,10,0.002918
30,3.5,15,0.003079
30,3.5,20,0.00324
30,3.75,2.5,0.002734
30,3.75,5,0.002817
30,3.75,10,0.00298
30,3.75,15,0.003143
30,3.75,20,0.003304
30,4,2.5,0.002788
30,4,5,0.002872
30,4,10,0.003037
30,4,15,0.003201
30,4,20,0.003365
30,4.25,2.5,0.00284
30,4.25,5,0.002923
30,4.25,10,0.00309
30,4.25,15,0.003256
30,4.25,20,0.003421
30,4.5,2.5,0.002886
30,4.5,5,0.00297
30,4.5,10,0.003138
30,4.5,15,0.003307
30,4.5,20,0.003474
30,4.75,2.5,0.002928
30,4.75,5,0.003014
30,4.75,10,0.003184
30,4.75,15,0.003352
30,4.75,20,0.003517
30,5,2.5,0.002967
30,5,5,0.003051
30,5,10,0.003222
30,5,15,0.003393
30,5,20,0.00356
