Height,C_r,del_T,Flow_Vel
20,4.75,15.0,0.003239
30,1.75,15.0,0.002507
30,3.0,15.0,0.002938
20,1.75,2.5,0.001785
20,0.5,5.0,0.000829
10,0.1,2.5,6.63e-05
30,3.5,10.0,0.002918
30,1.25,15.0,0.002273
10,5.0,15.0,0.00235
10,0.25,10.0,0.000201
30,3.5,20.0,0.00324
10,4.75,20.0,0.002383
20,2.75,20.0,0.002732
10,3.0,10.0,0.001503
30,2.5,20.0,0.002927
30,1.25,20.0,0.002393
20,0.1,2.5,0.000215
20,0.1,10.0,0.000262
30,0.5,15.0,0.001584
10,3.75,5.0,0.001679
20,1.0,5.0,0.001335
30,3.25,2.5,0.002618
30,1.75,20.0,0.002638
10,2.0,20.0,0.001245
10,2.75,20.0,0.001592
20,1.5,5.0,0.001701
20,0.25,5.0,0.000491
10,2.25,20.0,0.001365
30,5.0,2.5,0.002967
10,0.25,2.5,0.000145
20,0.25,2.5,0.000465
20,4.25,10.0,0.002911
30,0.5,2.5,0.001344
30,1.75,2.5,0.002177
30,5.0,15.0,0.003393
20,1.25,10.0,0.001644
10,2.0,2.5,0.000944
10,3.75,2.5,0.001621
10,4.25,10.0,0.001971
10,3.0,15.0,0.001604
10,0.5,5.0,0.00029
